21 468 150
22 467 150
23 467 150
24 467 149
25 467 148
26 466 149
27 466 149
28 467 150
29 467 151
30 467 151
31 468 152
32 468 153
33 469 154
34 471 154
35 471 154
36 472 154
37 472 154
38 473 154
39 473 154
40 471 152
41 471 153
42 470 153
43 470 153
44 469 153
45 468 153
46 468 153
47 468 154
48 469 154
49 469 155
50 470 155
51 471 156
52 472 156
53 473 157
54 473 157
55 473 157
56 473 157
57 473 157
58 473 157
59 472 157
60 472 157
61 471 156
62 471 157
63 471 156
64 471 157
65 471 155
66 471 156
67 472 157
68 473 157
69 473 158
70 474 158
71 475 159
72 476 160
73 476 158
74 477 162
75 478 163
76 478 161
77 479 161
78 476 161
79 469 159
80 459 153
81 446 143
82 430 128
83 414 108
84 396 88
85 377 68
86 359 58
87 341 48
88 322 43
89 303 40
90 285 41
91 265 46
92 245 56
93 225 70
94 205 90
95 183 114
96 164 144
97 144 178
98 126 216
99 126 216
100 112 252
