38 496 168
39 495 169
40 494 172
41 494 173
42 493 176
43 493 180
44 493 183
45 493 185
46 493 187
47 493 187
48 493 188
49 493 188
50 494 188
51 494 189
52 494 190
53 495 190
54 495 190
55 495 189
56 495 190
57 495 190
58 495 189
59 495 190
60 495 189
61 495 189
62 495 189
63 495 189
64 495 188
65 495 188
66 495 189
67 495 191
68 495 193
69 492 211
70 484 197
71 470 178
72 454 154
73 438 127
74 418 102
75 397 80
76 375 62
77 354 47
78 332 35
79 311 26
80 288 21
81 267 20
82 246 22
83 223 30
84 199 42
85 175 59
86 149 82
87 124 111
88 100 144
89 79 180
90 60 218
91 45 255
92 10 269
