0 488 192
1 487 194
2 484 194
3 480 190
4 477 184
5 473 178
6 469 172
7 466 169
8 463 167
9 462 167
10 460 171
11 461 176
12 463 182
13 465 190
14 469 198
15 474 206
16 480 212
17 485 218
18 490 222
19 492 224
20 493 223
21 493 222
22 493 221
23 491 220
24 491 220
25 489 220
26 488 221
27 489 225
28 490 230
29 492 234
30 493 242
31 496 247
37 495 249
38 491 241
39 482 228
40 470 208
41 457 184
42 443 155
43 427 128
44 411 103
45 394 81
46 377 63
47 358 48
48 339 37
49 321 29
50 301 26
51 280 27
52 257 32
53 234 43
54 208 59
55 183 82
56 157 112
57 132 146
58 108 183
59 89 224
60 75 263
61 14 273
